id,t_key,t_mode,t_dur,t_dance,t_energy,t_speech,t_acous,t_ins,t_live,t_val,t_tempo,popularity,ClasePopularidad
116295,3.8734888947185526,1.0,102.0774307978718,1.1360050872712266,0.6520678964564741,0.0388060029537579,0.2452965393170888,4.449924350303344e-06,0.0613705302106063,0.3138699973235678,20.325736613418584,56.0,3
101223,1.5954046701792832,1.0,163.22244698177212,1.5596662548015996,1.375891738754279,0.0906030793634273,0.000998507421578,0.144474004521409,0.0798991165790055,0.2379518317566936,32.51931053150299,22.0,2
47928,4.359420297063979,1.0,113.53184941196916,1.5938012385170417,1.5041555707270489,0.0527634859588963,0.0306231861585088,0.0055587382585791,0.0701917995518125,0.776168433327982,26.36946594164198,22.0,2
88722,3.8734888947185526,1.0,96.79205812933236,1.2892589833751722,1.5953197172832554,0.048713930161906,0.1511740461960488,0.0,0.0348780612073153,0.8626292929092049,32.61825290716981,50.0,3
111363,4.359420297063979,0.0,102.64081406076976,1.8149949763323976,1.0315616340740767,0.0367107613586548,0.0150526707496232,1.6099900975335984e-06,0.0896169718013836,0.83816883422158,25.157346215155563,35.0,2
45158,3.8734888947185526,1.0,113.44960784570809,1.3857033001504,1.2248361715785023,0.0999827956481028,0.1404171684924873,0.0,0.0889292214611332,0.5897388493687425,24.55172668288793,55.0,3
102895,3.8734888947185526,0.0,119.9414437142965,2.3432142243309544,0.7197556421986229,0.0641716933349096,0.0635483607274177,1.869866416504944e-05,0.1347572014878872,0.7991725886275585,26.50394872210937,2.0,1
72466,0.8729237960685747,1.0,101.22107173727228,1.469594075995497,0.9633865815385626,0.1055855748499455,0.0541775318316928,0.0,0.127477660814705,0.6275089210012507,27.181210356678772,14.0,1
41272,3.8734888947185526,0.0,105.03030471084467,1.8975212309367016,0.8870481902572912,0.0442099675527036,0.1941059955381991,1.00999610304248e-06,0.0778221813304756,0.3231583195397053,23.19347567656983,18.0,1
68114,2.818701932740041,0.0,138.43077770695237,1.0770676518768136,1.4608009109077953,0.0375034975711657,0.0146703072427697,0.0,0.0963050373930583,0.7255949301235987,25.545777473887316,59.0,3
